group,subject,isi,hits,false_alarms,n_signal,n_noise,hit_rate,fa_rate,d_prime
US,PRO24csv:8self43ehpo,8,3,17,5,57,0.6,0.2982456140350877,0.7828001206805886
US,PRO24csv:8self43ehpo,16,2,17,2,57,1.0,0.2982456140350877,2.8558008915856297
US,PRO24csv:8self43ehpo,32,3,17,3,57,1.0,0.2982456140350877,2.8558008915856297
US,PRO24csv:8self43ehpo,64,1,17,2,57,0.5,0.2982456140350877,0.5294530175447888
US,PRO24csv:9vfxhu67qv9,0,5,11,5,90,1.0,0.12222222222222222,3.4902974561941056
US,PRO24csv:9vfxhu67qv9,1,4,11,4,90,1.0,0.12222222222222222,3.4902974561941056
US,PRO24csv:9vfxhu67qv9,2,7,11,9,90,0.7777777777777778,0.12222222222222222,1.9286592559396518
US,PRO24csv:9vfxhu67qv9,3,1,11,4,90,0.25,0.12222222222222222,0.4894598319571831
US,PRO24csv:9vfxhu67qv9,4,3,11,4,90,0.75,0.12222222222222222,1.8384393323493464
US,PRO24csv:9vfxhu67qv9,8,3,11,4,90,0.75,0.12222222222222222,1.8384393323493464
US,PRO24csv:9vfxhu67qv9,16,3,11,4,90,0.75,0.12222222222222222,1.8384393323493464
US,PRO24csv:9vfxhu67qv9,32,4,11,4,90,1.0,0.12222222222222222,3.4902974561941056
US,PRO24csv:9vfxhu67qv9,64,2,11,5,90,0.4,0.12222222222222222,0.9106024790174652
US,PRO24csv:a5an9kncluw,0,5,28,5,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:a5an9kncluw,1,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:a5an9kncluw,2,5,28,5,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:a5an9kncluw,3,5,28,5,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:a5an9kncluw,4,2,28,4,90,0.5,0.3111111111111111,0.4927033330600414
US,PRO24csv:a5an9kncluw,8,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:a5an9kncluw,16,6,28,7,90,0.8571428571428571,0.3111111111111111,1.5602738569381829
US,PRO24csv:a5an9kncluw,32,3,28,5,90,0.6,0.3111111111111111,0.7460504361958411
US,PRO24csv:a5an9kncluw,64,4,28,4,90,1.0,0.3111111111111111,2.819051207100882
US,PRO24csv:af1p5tqxxrk,0,4,16,4,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:af1p5tqxxrk,1,6,16,6,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:af1p5tqxxrk,2,5,16,5,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:af1p5tqxxrk,3,3,16,5,90,0.6,0.17777777777777778,1.1772141238801122
US,PRO24csv:af1p5tqxxrk,4,4,16,4,90,1.0,0.17777777777777778,3.2502148947851532
US,PRO24csv:af1p5tqxxrk,8,2,16,4,90,0.5,0.17777777777777778,0.9238670207443125
US,PRO24csv:af1p5tqxxrk,16,3,16,4,90,0.75,0.17777777777777778,1.598356770940394
